,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster
0,Like a Rolling Stone,Bob Dylan,0.483,0.721,-6.836,0.032,0.7290000000000001,0.0,0.18899999999999997,0.562,95.26100000000001,369600,0
1,Smells Like Teen Spirit,Nirvana,0.485,0.863,-9.027000000000001,0.0495,1.22e-05,0.0162,0.138,0.767,116.835,300977,0
2,A Day In The Life - Remastered,The Beatles,0.364,0.457,-14.162,0.0675,0.29,0.000106,0.922,0.175,163.219,337413,3
3,Good Vibrations (Mono),The Beach Boys,0.39799999999999996,0.413,-10.934000000000001,0.0388,0.0822,2.54e-05,0.0891,0.331,133.57399999999998,219147,2
4,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.725,0.853,-7.8420000000000005,0.0353,0.0348,0.127,0.196,0.904,136.282,222813,0
5,Johnny B Goode,Chuck Berry,0.518,0.7559999999999999,-10.850999999999999,0.0915,0.735,6.2e-05,0.317,0.968,166.429,160893,0
6,Be My Baby,The Ronettes,0.511,0.769,-7.032,0.042,0.18100000000000002,0.0,0.0921,0.818,129.657,160907,0
7,I Heard It Through The Grapevine,Marvin Gaye,0.7290000000000001,0.324,-13.017000000000001,0.0393,0.195,0.0,0.10099999999999999,0.679,116.855,195267,0
8,What's Going On,Marvin Gaye,0.282,0.716,-9.632,0.0985,0.451,0.0,0.39899999999999997,0.83,201.958,233000,2
9,My Generation - Original Mono Version,The Who,0.332,0.8220000000000001,-6.558,0.0988,0.165,9.329999999999999e-05,0.161,0.745,96.25299999999999,197320,2
10,Respect,Aretha Franklin,0.805,0.5579999999999999,-5.226,0.040999999999999995,0.16399999999999998,2.2e-05,0.0546,0.965,114.95,147600,0
11,Love Will Tear Us Apart,Joy Division,0.44299999999999995,0.956,-6.1979999999999995,0.0511,5.24e-05,0.825,0.135,0.909,146.754,206867,5
12,Born to Run,Bruce Springsteen,0.253,0.868,-9.773,0.073,0.0511,0.0,0.214,0.68,146.64700000000002,269200,2
13,Sympathy For The Devil,The Rolling Stones,0.5660000000000001,0.6729999999999999,-10.814,0.306,0.565,1.13e-06,0.0438,0.583,114.385,377747,4
14,Anarchy In The UK - Remastered 2012,Sex Pistols,0.359,0.9490000000000001,-7.649,0.10099999999999999,0.0556,0.000396,0.23600000000000002,0.212,134.118,212480,2
15,Strawberry Fields Forever - Remastered,The Beatles,0.39,0.502,-12.277000000000001,0.17800000000000002,0.336,0.000138,0.0713,0.289,97.87100000000001,247320,1
16,Heartbreak Hotel,Elvis Presley,0.688,0.223,-11.475999999999999,0.0619,0.8490000000000001,2.1000000000000002e-06,0.0974,0.701,93.551,128040,1
17,Billie Jean,Michael Jackson,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,0
18,London Calling,The Clash,0.653,0.797,-6.957999999999999,0.048,0.0738,0.0,0.0847,0.726,133.725,199733,0
19,God Only Knows - Remastered,The Beach Boys,0.521,0.48700000000000004,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072,173040,2
20,Stairway To Heaven,Led Zeppelin,0.34600000000000003,0.335,-12.453,0.0339,0.575,0.00674,0.185,0.213,84.204,478173,1
21,(Sittin' On) the Dock of the Bay,Otis Redding,0.486,0.312,-13.522,0.0533,0.726,1.59e-06,0.0601,0.598,205.917,166827,1
22,Imagine - Remastered 2010,John Lennon,0.547,0.257,-12.357999999999999,0.0252,0.907,0.183,0.0935,0.16899999999999998,75.752,187867,1
23,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,0.9470000000000001,0.607,-10.58,0.20199999999999999,0.0249,4.76e-06,0.0861,0.732,100.619,431800,4
