,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Like a Rolling Stone,Bob Dylan,0.483,0.721,-6.836,0.032,0.729,0.0,0.189,0.562,95.261,369600
1,Smells Like Teen Spirit,Nirvana,0.485,0.863,-9.027,0.0495,1.22e-05,0.0162,0.138,0.767,116.835,300977
2,A Day In The Life - Remastered,The Beatles,0.364,0.457,-14.162,0.0675,0.29,0.000106,0.922,0.175,163.219,337413
3,Good Vibrations (Mono),The Beach Boys,0.398,0.413,-10.934,0.0388,0.0822,2.54e-05,0.0891,0.331,133.574,219147
4,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.725,0.853,-7.842,0.0353,0.0348,0.127,0.196,0.904,136.282,222813
5,Johnny B Goode,Chuck Berry,0.518,0.756,-10.851,0.0915,0.735,6.2e-05,0.317,0.968,166.429,160893
6,Be My Baby,The Ronettes,0.511,0.769,-7.032,0.042,0.181,0.0,0.0921,0.818,129.657,160907
7,I Heard It Through The Grapevine,Marvin Gaye,0.729,0.324,-13.017,0.0393,0.195,0.0,0.101,0.679,116.855,195267
8,What's Going On,Marvin Gaye,0.282,0.716,-9.632,0.0985,0.451,0.0,0.399,0.83,201.958,233000
9,My Generation - Original Mono Version,The Who,0.332,0.822,-6.558,0.0988,0.165,9.33e-05,0.161,0.745,96.253,197320
10,Respect,Aretha Franklin,0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,114.95,147600
11,Love Will Tear Us Apart,Joy Division,0.443,0.956,-6.198,0.0511,5.24e-05,0.825,0.135,0.909,146.754,206867
12,Born to Run,Bruce Springsteen,0.253,0.868,-9.773,0.073,0.0511,0.0,0.214,0.68,146.647,269200
13,Sympathy For The Devil,The Rolling Stones,0.566,0.673,-10.814,0.306,0.565,1.13e-06,0.0438,0.583,114.385,377747
14,Anarchy In The UK - Remastered 2012,Sex Pistols,0.359,0.949,-7.649,0.101,0.0556,0.000396,0.236,0.212,134.118,212480
15,Strawberry Fields Forever - Remastered,The Beatles,0.39,0.502,-12.277,0.178,0.336,0.000138,0.0713,0.289,97.871,247320
16,Heartbreak Hotel,Elvis Presley,0.688,0.223,-11.476,0.0619,0.849,2.1e-06,0.0974,0.701,93.551,128040
17,Billie Jean,Michael Jackson,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827
18,London Calling,The Clash,0.653,0.797,-6.958,0.048,0.0738,0.0,0.0847,0.726,133.725,199733
19,God Only Knows - Remastered,The Beach Boys,0.521,0.487,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072,173040
20,Stairway To Heaven,Led Zeppelin,0.346,0.335,-12.453,0.0339,0.575,0.00674,0.185,0.213,84.204,478173
21,(Sittin' On) the Dock of the Bay,Otis Redding,0.486,0.312,-13.522,0.0533,0.726,1.59e-06,0.0601,0.598,205.917,166827
22,Imagine - Remastered 2010,John Lennon,0.547,0.257,-12.358,0.0252,0.907,0.183,0.0935,0.169,75.752,187867
23,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,0.947,0.607,-10.58,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,431800
24,God Save The Queen,Sex Pistols,0.304,0.901,-7.756,0.0602,0.00105,0.000376,0.158,0.541,147.199,199453
25,Heroes - 1999 Remaster,David Bowie,0.478,0.774,-6.977,0.0292,0.000265,0.585,0.191,0.429,112.577,370373
26,Hey Ya! - Radio Mix / Club Mix,OutKast,0.719,0.967,-2.435,0.0552,0.0588,0.000249,0.206,0.964,79.505,235213
27,You Really Got Me,The Kinks,0.571,0.908,-8.208,0.0907,0.412,1.19e-06,0.0802,0.958,137.43,133573
28,When Doves Cry,Prince,0.729,0.989,-4.613,0.049,0.0102,4.45e-05,0.443,0.84,126.47,352906
29,Tutti Frutti,Little Richard,0.532,0.591,-3.81,0.0591,0.782,0.0,0.0647,0.962,184.4,146640
30,Paper Planes,M.I.A.,0.541,0.854,-6.196,0.155,0.0254,0.000125,0.651,0.454,86.044,205200
31,Purple Haze,Jimi Hendrix,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813
32,Gimme Shelter,The Rolling Stones,0.63,0.616,-8.128,0.0309,0.463,0.0408,0.173,0.509,118.65,270773
33,Superstition,Stevie Wonder,0.609,0.657,-11.496,0.0695,0.0308,0.00221,0.071,0.872,100.607,266160
34,What'd I Say,Ray Charles,0.506,0.618,-11.278,0.0708,0.657,2.31e-05,0.248,0.789,89.023,386560
35,Seven Nation Army,The White Stripes,0.745,0.466,-7.62,0.0864,0.00666,0.35,0.272,0.303,123.889,231920
36,Common People,Pulp,0.319,0.839,-7.341,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938,350373
37,Blue Monday,New Order,0.757,0.758,-7.873,0.0512,0.00708,0.831,0.112,0.918,130.505,447013
38,Bohemian Rhapsody - Remastered 2011,Queen,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105,354320
39,A Change Is Gonna Come,Sam Cooke,0.214,0.4,-10.042,0.0342,0.756,0.0,0.325,0.508,169.683,191160
40,Louie Louie,The Kingsmen,0.623,0.709,-9.818,0.0636,0.102,0.0,0.0967,0.948,122.394,165381
41,Hey Jude - Remastered,The Beatles,0.394,0.566,-9.435,0.0261,0.0304,3.64e-05,0.101,0.631,148.029,429933
42,Losing My Religion,R.E.M.,0.672,0.841,-5.992,0.0285,0.0767,0.0,0.135,0.82,125.437,267733
43,Waterloo Sunset - Stereo,The Kinks,0.517,0.692,-7.273,0.0246,0.253,0.0,0.172,0.476,107.958,193293
44,Light My Fire,The Doors,0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760
45,Crazy In Love (feat. Jay-Z),Beyoncé,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165,236133
46,I Want You Back,The Jackson 5,0.639,0.548,-13.534,0.0394,0.29,9.68e-05,0.366,0.887,98.359,176333
47,Whole Lotta Love - Remaster,Led Zeppelin,0.401,0.893,-11.171,0.437,0.0617,0.0391,0.164,0.406,87.979,334555
48,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0.523,0.769,-5.855,0.0269,0.04,0.0,0.136,0.876,136.162,244587
49,Crazy,Gnarls Barkley,0.855,0.587,-4.589,0.0336,0.0505,0.00714,0.105,0.64,111.97,177466
50,Space Oddity - 2009 Remastered Version,David Bowie,0.337,0.365,-15.091,0.0318,0.0788,3.84e-05,0.202,0.497,136.264,317027
51,Walk on the Wild Side,Lou Reed,0.564,0.262,-19.746,0.105,0.652,0.000204,0.0896,0.376,104.5,253960
52,I Feel Love,Donna Summer,0.639,0.659,-16.098,0.0491,0.0166,0.633,0.116,0.92,126.436,201735
53,Mr. Tambourine Man,The Byrds,0.456,0.47,-9.564,0.0294,0.513,3.76e-05,0.444,0.639,120.336,149467
54,Take Me Out,Franz Ferdinand,0.273,0.665,-8.795,0.0382,0.000458,0.000893,0.117,0.514,104.656,239027
55,Jumpin' Jack Flash,The Rolling Stones,0.575,0.909,-8.003,0.0654,0.0582,0.238,0.0724,0.693,137.335,222280
56,River Deep - Mountain High,Ike & Tina Turner,0.324,0.641,-11.12,0.0451,0.189,8.47e-05,0.109,0.308,83.901,219133
57,Paranoid Android,Radiohead,0.328,0.762,-8.651,0.0476,0.0342,0.00876,0.198,0.274,125.75,383507
58,Loser,Beck,0.595,0.617,-10.455,0.117,0.0343,0.000135,0.383,0.823,85.387,234960
59,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,0.357,0.389,-9.702,0.0269,0.569,0.0,0.099,0.324,94.211,224000
60,That'll Be the Day,The Crickets,0.654,0.523,-8.053,0.0349,0.8,0.0,0.285,0.851,126.819,136853
61,Blitzkrieg Bop - 2001 Remaster,Ramones,0.535,0.784,-5.073,0.0484,0.00557,0.171,0.0852,0.962,176.241,132733
62,Bitter Sweet Symphony,The Verve,0.389,0.889,-6.546,0.0442,0.0415,0.0,0.463,0.524,171.121,358427
63,Unfinished Sympathy - 2006 Digital Remaster,Massive Attack,0.592,0.891,-5.637,0.0316,0.0145,0.141,0.394,0.717,114.348,312293
64,Hotel California,Eagles,0.55,0.593,-7.619,0.0258,0.00511,0.00127,0.106,0.543,147.617,390267
65,Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,0.404,0.903,-3.88,0.0668,0.577,0.297,0.287,0.498,115.672,423840
66,Once in a Lifetime - 2005 Remaster,Talking Heads,0.644,0.919,-6.289,0.0561,0.181,0.134,0.622,0.871,117.459,259907
67,House of the Rising Sun,The Animals,0.316,0.484,-9.11,0.0308,0.000334,0.00445,0.0912,0.299,117.363,269907
68,All Along the Watchtower,Jimi Hendrix,0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800
69,Stand by Me,Ben E. King,0.632,0.232,-12.326,0.0318,0.428,4.95e-06,0.215,0.673,119.136,175493
70,How Soon Is Now? - 2011 Remaster,The Smiths,0.398,0.93,-6.76,0.0615,0.000854,0.121,0.0874,0.725,190.818,408173
71,Get Ur Freak On,Missy Elliott,0.78,0.787,-6.653,0.209,0.533,0.134,0.122,0.668,177.835,237067
72,Hound Dog,Elvis Presley,0.355,0.722,-9.338,0.0498,0.712,0.00309,0.805,0.946,176.708,136160
73,Suspicious Minds,Elvis Presley,0.477,0.378,-11.225,0.03,0.0377,3.49e-06,0.453,0.688,116.393,260973
74,Strange Fruit,Billie Holiday,0.304,0.104,-15.835,0.0313,0.963,0.000291,0.177,0.0608,81.02,189360
75,Sweet Child O' Mine,Guns N' Roses,0.45,0.904,-7.736,0.046,0.0872,0.108,0.102,0.689,125.072,356000
76,California Dreamin',The Mamas & The Papas,0.554,0.667,-10.226,0.0342,0.628,0.0,0.0486,0.597,112.749,157960
77,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0.68,0.632,-9.642,0.0469,0.027,0.868,0.146,0.863,125.894,279520
78,Paint It Black,The Rolling Stones,0.504,0.845,-7.799,0.0938,0.0139,0.0419,0.359,0.736,159.508,224133
79,Let's Stay Together,Al Green,0.762,0.244,-18.114,0.0551,0.388,0.0137,0.0663,0.558,101.57,199507
80,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,0.77,0.812,-9.013,0.145,0.384,2.34e-06,0.122,0.897,90.984,129400
81,Fight The Power,Public Enemy,0.798,0.586,-13.001,0.255,0.00556,2.34e-06,0.473,0.381,105.979,282640
82,For What It's Worth,Buffalo Springfield,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883,153693
83,I Want To Hold Your Hand - Remastered,The Beatles,0.492,0.722,-6.348,0.0395,0.581,4.47e-06,0.354,0.926,130.97,146533
84,Life On Mars? - 1999 Remastered Version,David Bowie,0.44,0.591,-7.859,0.0369,0.53,1.03e-05,0.171,0.373,121.398,223413
85,Wonderwall,Oasis,0.413,0.85,-5.593,0.0362,0.00228,0.0,0.124,0.481,174.423,258907
86,Dancing In The Street,Martha Reeves & The Vandellas,0.543,0.807,-5.973,0.0359,0.0567,0.000858,0.32,0.685,126.157,159920
87,Ghost Town - Extended Version,The Specials,0.666,0.654,-11.691,0.0926,0.0547,0.702,0.341,0.898,73.687,359173
88,The Weight - Remastered,The Band,0.63,0.519,-10.997,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,278627
89,99 Problems,JAY-Z,0.494,0.887,-4.297,0.398,0.00661,0.0,0.103,0.548,89.554,234627
90,Summertime Blues,Eddie Cochran,0.721,0.82,-10.32,0.0448,0.387,0.000326,0.198,0.966,155.968,120000
91,Thunder Road,Bruce Springsteen,0.374,0.606,-10.836,0.0347,0.667,1.23e-06,0.25,0.649,140.267,287360
92,All My Friends,LCD Soundsystem,0.701,0.788,-5.611,0.0425,0.148,0.625,0.0977,0.795,142.584,462267
93,One,U2,0.544,0.542,-8.624,0.0294,0.268,0.00197,0.114,0.339,90.472,276187
94,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles,0.521,0.386,-7.72,0.0292,0.727,0.0,0.33,0.709,95.793,177733
95,This Charming Man - 2011 Remaster,The Smiths,0.611,0.846,-5.9,0.0436,0.00509,0.0,0.0784,0.751,103.912,162920
96,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,0.35,0.573,-11.34,0.0317,0.741,2.03e-05,0.171,0.562,163.654,173867
97,Heroin,The Velvet Underground,0.209,0.79,-10.12,0.0956,0.29,0.798,0.0999,0.251,145.233,433573
98,Reach Out I'll Be There - Single Version / Mono,Four Tops,0.619,0.803,-3.521,0.0317,0.0703,0.0,0.27,0.73,119.538,179667
99,Kashmir - 1990 Remaster,Led Zeppelin,0.48,0.536,-11.166,0.0427,0.488,4.22e-05,0.155,0.581,80.617,508200
100,Eight Miles High,The Byrds,0.364,0.768,-10.492,0.0757,0.21,0.136,0.503,0.37,130.602,214640
101,That's All Right Mama,Elvis Presley,0.649,0.473,-7.875,0.0324,0.73,4.92e-05,0.176,0.658,105.048,120267
102,Dancing Queen,ABBA,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,230400
103,Yesterday - Remastered,The Beatles,0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,125667
104,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,0.825,0.812,-4.663,0.108,0.319,4.58e-05,0.267,0.847,108.352,316253
105,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413
106,Heart Of Glass [24-Bit Digitally Remastered 01] - Remastered 2001,Blondie,0.662,0.633,-7.793,0.0433,0.0078,0.0233,0.0689,0.657,115.007,350240
107,Walk This Way (feat. Aerosmith),Run–D.M.C.,0.759,0.578,-12.56,0.0468,0.00796,8.18e-05,0.0605,0.944,105.598,309760
108,Proud Mary,Creedence Clearwater Revival,0.699,0.641,-7.564,0.0289,0.13,0.000218,0.0601,0.728,120.745,187213
109,Good Times,CHIC,0.87,0.657,-7.32,0.0522,0.149,0.0102,0.053,0.893,110.596,495400
110,Nothing Compares 2 U,Sinéad O'Connor,0.511,0.574,-7.016,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040
111,Every Breath You Take - Remastered 2003,The Police,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0701,0.74,117.401,253250
112,A Whiter Shade Of Pale,Procol Harum,0.305,0.548,-8.839,0.0336,0.65,0.000546,0.184,0.36,74.586,243800
113,Fortunate Son,Creedence Clearwater Revival,0.648,0.678,-7.461,0.0392,0.221,0.00456,0.143,0.667,132.729,140773
114,Losing My Edge,LCD Soundsystem,0.769,0.959,-8.717,0.0634,0.000208,0.631,0.331,0.893,116.168,473067
115,Paranoid,Black Sabbath,0.418,0.668,-11.297,0.082,0.000143,0.00113,0.173,0.379,162.663,167933
116,She Loves You - Remastered,The Beatles,0.391,0.87,-5.939,0.0437,0.218,0.0,0.154,0.924,75.546,141333
117,Bridge over Troubled Water,Simon & Garfunkel,0.316,0.199,-14.099,0.0275,0.846,0.000649,0.121,0.233,82.814,293547
118,Blue Suede Shoes,Carl Perkins,0.516,0.665,-8.206,0.034,0.247,0.000986,0.191,0.965,168.795,137053
119,Rapper's Delight - Long Version,The Sugarhill Gang,0.847,0.828,-8.51,0.296,0.385,0.0,0.393,0.884,111.045,873733
120,Papa's Got A Brand New Bag - Pt. 1,James Brown,0.761,0.787,-5.672,0.104,0.542,0.148,0.0826,0.89,130.311,126507
121,Tangled up in Blue,Bob Dylan,0.421,0.661,-13.126,0.0433,0.414,1.16e-06,0.0962,0.554,100.965,341627
122,The Sound of Silence - Electric Version,Simon & Garfunkel,0.44,0.466,-9.712,0.0284,0.17,1.03e-06,0.118,0.543,107.744,185253
123,Great Balls Of Fire,Jerry Lee Lewis,0.563,0.508,-15.044,0.0638,0.416,0.0,0.526,0.849,79.436,110867
124,Rehab,Amy Winehouse,0.42,0.873,-2.963,0.0685,0.0408,2.17e-06,0.568,0.728,72.858,213760
125,Maybellene - Single Version,Chuck Berry,0.757,0.761,-10.692,0.139,0.772,0.0,0.191,0.771,118.181,143240
126,Green Onions - 45 Version,Booker T. & the M.G.'s,0.788,0.38,-15.179,0.0346,0.811,0.906,0.102,0.892,138.205,167385
127,Born Slippy (Nuxx),Underworld,0.576,0.953,-8.968,0.0362,0.00106,0.49,0.474,0.303,140.042,456480
128,Maggie May,Rod Stewart,0.605,0.574,-10.536,0.0377,0.559,0.113,0.0684,0.543,129.449,350267
129,Creep,Radiohead,0.532,0.344,-13.057,0.035,0.00563,0.000473,0.115,0.126,91.834,235667
130,Live Forever,Oasis,0.143,0.781,-5.442,0.0354,1.26e-05,7.09e-06,0.371,0.229,90.063,276867
131,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,0.649,0.673,-9.35,0.0638,0.249,0.0351,0.726,0.587,78.535,427800
